Designator,Mid X,Mid Y,Layer,Rotation
CI1,138.25,-97,Top,0
CI2,166.85,-94.67,Top,0
CI3,148,-94.825,Top,180
D1,158.25,-99.25,Top,180
D2,158.25,-98,Top,180
D3,158.25,-96.75,Top,180
D4,158.25,-95.5,Top,180
D5,158.25,-94.25,Top,180
D6,158.25,-93,Top,180
D7,158.25,-91.75,Top,180
D8,158.25,-90.5,Top,180
J1,176.125,-106.205,Top,180
J2,129.5,-88.96,Top,0
J3,145.85,-84.25,Top,-90
R1,140.75,-90.5,Top,0
R2,154.5,-99.25,Top,0
R3,154.5,-98,Top,0
R4,154.5,-96.75,Top,0
R5,154.5,-95.5,Top,0
R6,154.5,-94.25,Top,0
R7,154.5,-93,Top,0
R8,154.5,-91.75,Top,0
R9,154.5,-90.5,Top,0
SW1,136.25,-90.5,Top,180
